chr10_1	chr10_1	saccharide	RHC10H1G2071.2;RHC10H1G2072.2;RHC10H1G2073.2;RHC10H1G2074.2;RHC10H1G2075.2;RHC10H1G2076.2;RHC10H1G2077.2;RHC10H1G2078.2;RHC10H1G2079.2;RHC10H1G2080.2;RHC10H1G2081.2;RHC10H1G2082.2;RHC10H1G2083.2;RHC10H1G2084.2;RHC10H1G2085.2;RHC10H1G2086.2;RHC10H1G2087.2;RHC10H1G2088.2;RHC10H1G2089.2;RHC10H1G2090.2;RHC10H1G2091.2;RHC10H1G2092.2;RHC10H1G2093.2;RHC10H1G2094.2	RHC10H1G2071.2;RHC10H1G2072.2;RHC10H1G2073.2;RHC10H1G2074.2;RHC10H1G2075.2;RHC10H1G2076.2;RHC10H1G2077.2;RHC10H1G2078.2;RHC10H1G2079.2;RHC10H1G2080.2;RHC10H1G2081.2;RHC10H1G2082.2;RHC10H1G2083.2;RHC10H1G2084.2;RHC10H1G2085.2;RHC10H1G2086.2;RHC10H1G2087.2;RHC10H1G2088.2;RHC10H1G2089.2;RHC10H1G2090.2;RHC10H1G2091.2;RHC10H1G2092.2;RHC10H1G2093.2;RHC10H1G2094.2
chr2_1	chr2_1	alkaloid	RHC02H1G2143.2;RHC02H1G2144.2;RHC02H1G2145.2;RHC02H1G2146.2;RHC02H1G2147.2;RHC02H1G2148.2;RHC02H1G2149.2	RHC02H1G2143.2;RHC02H1G2144.2;RHC02H1G2145.2;RHC02H1G2146.2;RHC02H1G2147.2;RHC02H1G2148.2;RHC02H1G2149.2
chr2_2	chr2_2	terpene	RHC02H2G1784.2;RHC02H2G1785.2;RHC02H2G1786.2;RHC02H2G1787.2;RHC02H2G1788.2;RHC02H2G1789.2;RHC02H2G1790.2;RHC02H2G1791.2;RHC02H2G1792.2;RHC02H2G1793.2;RHC02H2G1794.2;RHC02H2G1795.2;RHC02H2G1796.2;RHC02H2G1797.2;RHC02H2G1798.2;RHC02H2G1799.2;RHC02H2G1800.2;RHC02H2G1801.2;RHC02H2G1802.2;RHC02H2G1803.2	RHC02H2G1784.2;RHC02H2G1785.2;RHC02H2G1786.2;RHC02H2G1787.2;RHC02H2G1788.2;RHC02H2G1789.2;RHC02H2G1790.2;RHC02H2G1791.2;RHC02H2G1792.2;RHC02H2G1793.2;RHC02H2G1794.2;RHC02H2G1795.2;RHC02H2G1796.2;RHC02H2G1797.2;RHC02H2G1798.2;RHC02H2G1799.2;RHC02H2G1800.2;RHC02H2G1801.2;RHC02H2G1802.2;RHC02H2G1803.2
chr2_2	chr2_2	saccharide	RHC02H2G1959.2;RHC02H2G1960.2;RHC02H2G1961.2;RHC02H2G1962.2;RHC02H2G1963.2;RHC02H2G1964.2;RHC02H2G1965.2;RHC02H2G1966.2;RHC02H2G1967.2;RHC02H2G1968.2;RHC02H2G1969.2;RHC02H2G1970.2;RHC02H2G1971.2;RHC02H2G1972.2	RHC02H2G1959.2;RHC02H2G1960.2;RHC02H2G1961.2;RHC02H2G1962.2;RHC02H2G1963.2;RHC02H2G1964.2;RHC02H2G1965.2;RHC02H2G1966.2;RHC02H2G1967.2;RHC02H2G1968.2;RHC02H2G1969.2;RHC02H2G1970.2;RHC02H2G1971.2;RHC02H2G1972.2
chr2_2	chr2_2	alkaloid	RHC02H2G2073.2;RHC02H2G2074.2;RHC02H2G2075.2;RHC02H2G2076.2;RHC02H2G2077.2;RHC02H2G2078.2;RHC02H2G2079.2	RHC02H2G2073.2;RHC02H2G2074.2;RHC02H2G2075.2;RHC02H2G2076.2;RHC02H2G2077.2;RHC02H2G2078.2;RHC02H2G2079.2
chr2_2	chr2_2	saccharide	RHC02H2G2692.2;RHC02H2G2693.2;RHC02H2G2694.2;RHC02H2G2695.2;RHC02H2G2696.2;RHC02H2G2697.2;RHC02H2G2698.2;RHC02H2G2699.2;RHC02H2G2700.2;RHC02H2G2701.2;RHC02H2G2702.2	RHC02H2G2692.2;RHC02H2G2693.2;RHC02H2G2694.2;RHC02H2G2695.2;RHC02H2G2696.2;RHC02H2G2697.2;RHC02H2G2698.2;RHC02H2G2699.2;RHC02H2G2700.2;RHC02H2G2701.2;RHC02H2G2702.2
chr3_1	chr3_1	saccharide	RHC03H1G0992.2;RHC03H1G0993.2;RHC03H1G0994.2;RHC03H1G0995.2;RHC03H1G0996.2;RHC03H1G0997.2;RHC03H1G0998.2;RHC03H1G0999.2;RHC03H1G1000.2;RHC03H1G1001.2;RHC03H1G1002.2;RHC03H1G1003.2;RHC03H1G1004.2;RHC03H1G1005.2;RHC03H1G1006.2;RHC03H1G1007.2	RHC03H1G0992.2;RHC03H1G0993.2;RHC03H1G0994.2;RHC03H1G0995.2;RHC03H1G0996.2;RHC03H1G0997.2;RHC03H1G0998.2;RHC03H1G0999.2;RHC03H1G1000.2;RHC03H1G1001.2;RHC03H1G1002.2;RHC03H1G1003.2;RHC03H1G1004.2;RHC03H1G1005.2;RHC03H1G1006.2;RHC03H1G1007.2
chr3_1	chr3_1	saccharide-terpene	RHC03H1G1024.2;RHC03H1G1025.2;RHC03H1G1026.2;RHC03H1G1027.2;RHC03H1G1028.2;RHC03H1G1029.2;RHC03H1G1030.2;RHC03H1G1031.2;RHC03H1G1032.2;RHC03H1G1033.2;RHC03H1G1034.2;RHC03H1G1035.2;RHC03H1G1036.2;RHC03H1G1037.2	RHC03H1G1024.2;RHC03H1G1025.2;RHC03H1G1026.2;RHC03H1G1027.2;RHC03H1G1028.2;RHC03H1G1029.2;RHC03H1G1030.2;RHC03H1G1031.2;RHC03H1G1032.2;RHC03H1G1033.2;RHC03H1G1034.2;RHC03H1G1035.2;RHC03H1G1036.2;RHC03H1G1037.2
chr3_1	chr3_1	cyclopeptide	RHC03H1G2099.2;RHC03H1G2100.2;RHC03H1G2101.2;RHC03H1G2102.2;RHC03H1G2103.2;RHC03H1G2104.2;RHC03H1G2105.2;RHC03H1G2106.2;RHC03H1G2107.2;RHC03H1G2108.2;RHC03H1G2109.2;RHC03H1G2110.2;RHC03H1G2111.2;RHC03H1G2112.2;RHC03H1G2113.2;RHC03H1G2114.2;RHC03H1G2115.2;RHC03H1G2116.2;RHC03H1G2117.2;RHC03H1G2118.2;RHC03H1G2119.2;RHC03H1G2120.2;RHC03H1G2121.2;RHC03H1G2122.2;RHC03H1G2123.2;RHC03H1G2124.2;RHC03H1G2125.2;RHC03H1G2126.2;RHC03H1G2127.2;RHC03H1G2128.2;RHC03H1G2129.2;RHC03H1G2130.2;RHC03H1G2131.2;RHC03H1G2132.2;RHC03H1G2133.2;RHC03H1G2134.2;RHC03H1G2135.2;RHC03H1G2136.2;RHC03H1G2137.2;RHC03H1G2138.2;RHC03H1G2139.2;RHC03H1G2140.2;RHC03H1G2141.2;RHC03H1G2142.2	RHC03H1G2099.2;RHC03H1G2100.2;RHC03H1G2101.2;RHC03H1G2102.2;RHC03H1G2103.2;RHC03H1G2104.2;RHC03H1G2105.2;RHC03H1G2106.2;RHC03H1G2107.2;RHC03H1G2108.2;RHC03H1G2109.2;RHC03H1G2110.2;RHC03H1G2111.2;RHC03H1G2112.2;RHC03H1G2113.2;RHC03H1G2114.2;RHC03H1G2115.2;RHC03H1G2116.2;RHC03H1G2117.2;RHC03H1G2118.2;RHC03H1G2119.2;RHC03H1G2120.2;RHC03H1G2121.2;RHC03H1G2122.2;RHC03H1G2123.2;RHC03H1G2124.2;RHC03H1G2125.2;RHC03H1G2126.2;RHC03H1G2127.2;RHC03H1G2128.2;RHC03H1G2129.2;RHC03H1G2130.2;RHC03H1G2131.2;RHC03H1G2132.2;RHC03H1G2133.2;RHC03H1G2134.2;RHC03H1G2135.2;RHC03H1G2136.2;RHC03H1G2137.2;RHC03H1G2138.2;RHC03H1G2139.2;RHC03H1G2140.2;RHC03H1G2141.2;RHC03H1G2142.2
chr3_2	chr3_2	saccharide	RHC03H2G1213.2;RHC03H2G1214.2;RHC03H2G1215.2;RHC03H2G1216.2;RHC03H2G1217.2;RHC03H2G1218.2;RHC03H2G1219.2;RHC03H2G1220.2;RHC03H2G1221.2;RHC03H2G1222.2;RHC03H2G1223.2;RHC03H2G1224.2;RHC03H2G1225.2;RHC03H2G1226.2;RHC03H2G1227.2;RHC03H2G1228.2	RHC03H2G1213.2;RHC03H2G1214.2;RHC03H2G1215.2;RHC03H2G1216.2;RHC03H2G1217.2;RHC03H2G1218.2;RHC03H2G1219.2;RHC03H2G1220.2;RHC03H2G1221.2;RHC03H2G1222.2;RHC03H2G1223.2;RHC03H2G1224.2;RHC03H2G1225.2;RHC03H2G1226.2;RHC03H2G1227.2;RHC03H2G1228.2
chr3_2	chr3_2	cyclopeptide	RHC03H2G2522.2;RHC03H2G2523.2;RHC03H2G2524.2;RHC03H2G2525.2;RHC03H2G2526.2;RHC03H2G2527.2;RHC03H2G2528.2;RHC03H2G2529.2;RHC03H2G2530.2;RHC03H2G2531.2;RHC03H2G2532.2;RHC03H2G2533.2;RHC03H2G2534.2;RHC03H2G2535.2;RHC03H2G2536.2;RHC03H2G2537.2;RHC03H2G2538.2;RHC03H2G2539.2;RHC03H2G2540.2;RHC03H2G2541.2;RHC03H2G2542.2;RHC03H2G2543.2;RHC03H2G2544.2;RHC03H2G2545.2;RHC03H2G2546.2;RHC03H2G2547.2;RHC03H2G2548.2;RHC03H2G2549.2;RHC03H2G2550.2;RHC03H2G2551.2;RHC03H2G2552.2;RHC03H2G2553.2;RHC03H2G2554.2;RHC03H2G2555.2;RHC03H2G2556.2;RHC03H2G2557.2;RHC03H2G2558.2;RHC03H2G2559.2;RHC03H2G2560.2;RHC03H2G2561.2;RHC03H2G2562.2;RHC03H2G2563.2;RHC03H2G2564.2;RHC03H2G2565.2;RHC03H2G2566.2;RHC03H2G2567.2;RHC03H2G2568.2;RHC03H2G2569.2;RHC03H2G2570.2;RHC03H2G2571.2;RHC03H2G2572.2;RHC03H2G2573.2;RHC03H2G2574.2;RHC03H2G2575.2;RHC03H2G2576.2;RHC03H2G2577.2;RHC03H2G2578.2	RHC03H2G2522.2;RHC03H2G2523.2;RHC03H2G2524.2;RHC03H2G2525.2;RHC03H2G2526.2;RHC03H2G2527.2;RHC03H2G2528.2;RHC03H2G2529.2;RHC03H2G2530.2;RHC03H2G2531.2;RHC03H2G2532.2;RHC03H2G2533.2;RHC03H2G2534.2;RHC03H2G2535.2;RHC03H2G2536.2;RHC03H2G2537.2;RHC03H2G2538.2;RHC03H2G2539.2;RHC03H2G2540.2;RHC03H2G2541.2;RHC03H2G2542.2;RHC03H2G2543.2;RHC03H2G2544.2;RHC03H2G2545.2;RHC03H2G2546.2;RHC03H2G2547.2;RHC03H2G2548.2;RHC03H2G2549.2;RHC03H2G2550.2;RHC03H2G2551.2;RHC03H2G2552.2;RHC03H2G2553.2;RHC03H2G2554.2;RHC03H2G2555.2;RHC03H2G2556.2;RHC03H2G2557.2;RHC03H2G2558.2;RHC03H2G2559.2;RHC03H2G2560.2;RHC03H2G2561.2;RHC03H2G2562.2;RHC03H2G2563.2;RHC03H2G2564.2;RHC03H2G2565.2;RHC03H2G2566.2;RHC03H2G2567.2;RHC03H2G2568.2;RHC03H2G2569.2;RHC03H2G2570.2;RHC03H2G2571.2;RHC03H2G2572.2;RHC03H2G2573.2;RHC03H2G2574.2;RHC03H2G2575.2;RHC03H2G2576.2;RHC03H2G2577.2;RHC03H2G2578.2
chr4_1	chr4_1	cyclopeptide	RHC04H1G0725.2;RHC04H1G0726.2;RHC04H1G0727.2;RHC04H1G0728.2;RHC04H1G0729.2;RHC04H1G0730.2;RHC04H1G0731.2;RHC04H1G0732.2;RHC04H1G0733.2;RHC04H1G0734.2;RHC04H1G0735.2;RHC04H1G0736.2;RHC04H1G0737.2;RHC04H1G0738.2;RHC04H1G0739.2;RHC04H1G0740.2;RHC04H1G0741.2;RHC04H1G0742.2;RHC04H1G0743.2;RHC04H1G0744.2;RHC04H1G0745.2;RHC04H1G0746.2;RHC04H1G0747.2;RHC04H1G0748.2;RHC04H1G0749.2;RHC04H1G0750.2;RHC04H1G0751.2;RHC04H1G0752.2;RHC04H1G0753.2;RHC04H1G0754.2;RHC04H1G0755.2;RHC04H1G0756.2;RHC04H1G0757.2;RHC04H1G0758.2;RHC04H1G0759.2;RHC04H1G0760.2;RHC04H1G0761.2;RHC04H1G0762.2;RHC04H1G0763.2;RHC04H1G0764.2;RHC04H1G0765.2;RHC04H1G0766.2;RHC04H1G0767.2;RHC04H1G0768.2;RHC04H1G0769.2;RHC04H1G0770.2;RHC04H1G0771.2;RHC04H1G0772.2;RHC04H1G0773.2;RHC04H1G0774.2;RHC04H1G0775.2;RHC04H1G0776.2;RHC04H1G0777.2	RHC04H1G0725.2;RHC04H1G0726.2;RHC04H1G0727.2;RHC04H1G0728.2;RHC04H1G0729.2;RHC04H1G0730.2;RHC04H1G0731.2;RHC04H1G0732.2;RHC04H1G0733.2;RHC04H1G0734.2;RHC04H1G0735.2;RHC04H1G0736.2;RHC04H1G0737.2;RHC04H1G0738.2;RHC04H1G0739.2;RHC04H1G0740.2;RHC04H1G0741.2;RHC04H1G0742.2;RHC04H1G0743.2;RHC04H1G0744.2;RHC04H1G0745.2;RHC04H1G0746.2;RHC04H1G0747.2;RHC04H1G0748.2;RHC04H1G0749.2;RHC04H1G0750.2;RHC04H1G0751.2;RHC04H1G0752.2;RHC04H1G0753.2;RHC04H1G0754.2;RHC04H1G0755.2;RHC04H1G0756.2;RHC04H1G0757.2;RHC04H1G0758.2;RHC04H1G0759.2;RHC04H1G0760.2;RHC04H1G0761.2;RHC04H1G0762.2;RHC04H1G0763.2;RHC04H1G0764.2;RHC04H1G0765.2;RHC04H1G0766.2;RHC04H1G0767.2;RHC04H1G0768.2;RHC04H1G0769.2;RHC04H1G0770.2;RHC04H1G0771.2;RHC04H1G0772.2;RHC04H1G0773.2;RHC04H1G0774.2;RHC04H1G0775.2;RHC04H1G0776.2;RHC04H1G0777.2
chr4_1	chr4_1	saccharide	RHC04H1G2746.2;RHC04H1G2747.2;RHC04H1G2748.2;RHC04H1G2749.2;RHC04H1G2750.2;RHC04H1G2751.2;RHC04H1G2752.2;RHC04H1G2753.2;RHC04H1G2754.2;RHC04H1G2755.2;RHC04H1G2756.2	RHC04H1G2746.2;RHC04H1G2747.2;RHC04H1G2748.2;RHC04H1G2749.2;RHC04H1G2750.2;RHC04H1G2751.2;RHC04H1G2752.2;RHC04H1G2753.2;RHC04H1G2754.2;RHC04H1G2755.2;RHC04H1G2756.2
chr4_1	chr4_1	polyketide	RHC04H1G3003.2;RHC04H1G3004.2;RHC04H1G3005.2;RHC04H1G3006.2;RHC04H1G3007.2;RHC04H1G3008.2;RHC04H1G3009.2;RHC04H1G3010.2;RHC04H1G3011.2;RHC04H1G3012.2;RHC04H1G3013.2;RHC04H1G3014.2;RHC04H1G3015.2;RHC04H1G3016.2;RHC04H1G3017.2	RHC04H1G3003.2;RHC04H1G3004.2;RHC04H1G3005.2;RHC04H1G3006.2;RHC04H1G3007.2;RHC04H1G3008.2;RHC04H1G3009.2;RHC04H1G3010.2;RHC04H1G3011.2;RHC04H1G3012.2;RHC04H1G3013.2;RHC04H1G3014.2;RHC04H1G3015.2;RHC04H1G3016.2;RHC04H1G3017.2
chr4_2	chr4_2	saccharide-alkaloid	RHC04H2G0272.2;RHC04H2G0273.2;RHC04H2G0274.2;RHC04H2G0275.2;RHC04H2G0276.2;RHC04H2G0277.2;RHC04H2G0278.2;RHC04H2G0279.2;RHC04H2G0280.2;RHC04H2G0281.2;RHC04H2G0282.2;RHC04H2G0283.2;RHC04H2G0284.2;RHC04H2G0285.2;RHC04H2G0286.2;RHC04H2G0287.2;RHC04H2G0288.2;RHC04H2G0289.2;RHC04H2G0290.2;RHC04H2G0291.2;RHC04H2G0292.2;RHC04H2G0293.2;RHC04H2G0294.2;RHC04H2G0295.2;RHC04H2G0296.2;RHC04H2G0297.2;RHC04H2G0298.2;RHC04H2G0299.2;RHC04H2G0300.2;RHC04H2G0301.2;RHC04H2G0302.2;RHC04H2G0303.2;RHC04H2G0304.2;RHC04H2G0305.2;RHC04H2G0306.2;RHC04H2G0307.2;RHC04H2G0308.2;RHC04H2G0309.2;RHC04H2G0310.2;RHC04H2G0311.2;RHC04H2G0312.2;RHC04H2G0313.2;RHC04H2G0314.2	RHC04H2G0272.2;RHC04H2G0273.2;RHC04H2G0274.2;RHC04H2G0275.2;RHC04H2G0276.2;RHC04H2G0277.2;RHC04H2G0278.2;RHC04H2G0279.2;RHC04H2G0280.2;RHC04H2G0281.2;RHC04H2G0282.2;RHC04H2G0283.2;RHC04H2G0284.2;RHC04H2G0285.2;RHC04H2G0286.2;RHC04H2G0287.2;RHC04H2G0288.2;RHC04H2G0289.2;RHC04H2G0290.2;RHC04H2G0291.2;RHC04H2G0292.2;RHC04H2G0293.2;RHC04H2G0294.2;RHC04H2G0295.2;RHC04H2G0296.2;RHC04H2G0297.2;RHC04H2G0298.2;RHC04H2G0299.2;RHC04H2G0300.2;RHC04H2G0301.2;RHC04H2G0302.2;RHC04H2G0303.2;RHC04H2G0304.2;RHC04H2G0305.2;RHC04H2G0306.2;RHC04H2G0307.2;RHC04H2G0308.2;RHC04H2G0309.2;RHC04H2G0310.2;RHC04H2G0311.2;RHC04H2G0312.2;RHC04H2G0313.2;RHC04H2G0314.2
chr4_2	chr4_2	cyclopeptide	RHC04H2G0627.2;RHC04H2G0628.2;RHC04H2G0629.2;RHC04H2G0630.2;RHC04H2G0631.2;RHC04H2G0632.2;RHC04H2G0633.2;RHC04H2G0634.2;RHC04H2G0635.2;RHC04H2G0636.2;RHC04H2G0637.2;RHC04H2G0638.2;RHC04H2G0639.2;RHC04H2G0640.2;RHC04H2G0641.2;RHC04H2G0642.2;RHC04H2G0643.2;RHC04H2G0644.2;RHC04H2G0645.2;RHC04H2G0646.2;RHC04H2G0647.2;RHC04H2G0648.2;RHC04H2G0649.2;RHC04H2G0650.2;RHC04H2G0651.2;RHC04H2G0652.2;RHC04H2G0653.2;RHC04H2G0654.2;RHC04H2G0655.2;RHC04H2G0656.2;RHC04H2G0657.2;RHC04H2G0658.2;RHC04H2G0659.2;RHC04H2G0660.2;RHC04H2G0661.2;RHC04H2G0662.2;RHC04H2G0663.2;RHC04H2G0664.2	RHC04H2G0627.2;RHC04H2G0628.2;RHC04H2G0629.2;RHC04H2G0630.2;RHC04H2G0631.2;RHC04H2G0632.2;RHC04H2G0633.2;RHC04H2G0634.2;RHC04H2G0635.2;RHC04H2G0636.2;RHC04H2G0637.2;RHC04H2G0638.2;RHC04H2G0639.2;RHC04H2G0640.2;RHC04H2G0641.2;RHC04H2G0642.2;RHC04H2G0643.2;RHC04H2G0644.2;RHC04H2G0645.2;RHC04H2G0646.2;RHC04H2G0647.2;RHC04H2G0648.2;RHC04H2G0649.2;RHC04H2G0650.2;RHC04H2G0651.2;RHC04H2G0652.2;RHC04H2G0653.2;RHC04H2G0654.2;RHC04H2G0655.2;RHC04H2G0656.2;RHC04H2G0657.2;RHC04H2G0658.2;RHC04H2G0659.2;RHC04H2G0660.2;RHC04H2G0661.2;RHC04H2G0662.2;RHC04H2G0663.2;RHC04H2G0664.2
chr4_2	chr4_2	putative	RHC04H2G2601.2;RHC04H2G2602.2;RHC04H2G2603.2;RHC04H2G2604.2;RHC04H2G2605.2;RHC04H2G2606.2;RHC04H2G2607.2;RHC04H2G2608.2;RHC04H2G2609.2;RHC04H2G2610.2;RHC04H2G2611.2	RHC04H2G2601.2;RHC04H2G2602.2;RHC04H2G2603.2;RHC04H2G2604.2;RHC04H2G2605.2;RHC04H2G2606.2;RHC04H2G2607.2;RHC04H2G2608.2;RHC04H2G2609.2;RHC04H2G2610.2;RHC04H2G2611.2
chr4_2	chr4_2	polyketide	RHC04H2G2777.2;RHC04H2G2778.2;RHC04H2G2779.2;RHC04H2G2780.2;RHC04H2G2781.2;RHC04H2G2782.2;RHC04H2G2783.2;RHC04H2G2784.2;RHC04H2G2785.2;RHC04H2G2786.2;RHC04H2G2787.2;RHC04H2G2788.2;RHC04H2G2789.2;RHC04H2G2790.2;RHC04H2G2791.2;RHC04H2G2792.2;RHC04H2G2793.2;RHC04H2G2794.2;RHC04H2G2795.2	RHC04H2G2777.2;RHC04H2G2778.2;RHC04H2G2779.2;RHC04H2G2780.2;RHC04H2G2781.2;RHC04H2G2782.2;RHC04H2G2783.2;RHC04H2G2784.2;RHC04H2G2785.2;RHC04H2G2786.2;RHC04H2G2787.2;RHC04H2G2788.2;RHC04H2G2789.2;RHC04H2G2790.2;RHC04H2G2791.2;RHC04H2G2792.2;RHC04H2G2793.2;RHC04H2G2794.2;RHC04H2G2795.2
chr4_2	chr4_2	cyclopeptide	RHC04H2G3069.2;RHC04H2G3070.2;RHC04H2G3071.2;RHC04H2G3072.2;RHC04H2G3073.2;RHC04H2G3074.2;RHC04H2G3075.2;RHC04H2G3076.2;RHC04H2G3077.2;RHC04H2G3078.2;RHC04H2G3079.2;RHC04H2G3080.2;RHC04H2G3081.2;RHC04H2G3082.2;RHC04H2G3083.2;RHC04H2G3084.2;RHC04H2G3085.2;RHC04H2G3086.2;RHC04H2G3087.2;RHC04H2G3088.2;RHC04H2G3089.2;RHC04H2G3090.2;RHC04H2G3091.2;RHC04H2G3092.2;RHC04H2G3093.2;RHC04H2G3094.2;RHC04H2G3095.2;RHC04H2G3096.2;RHC04H2G3097.2;RHC04H2G3098.2;RHC04H2G3099.2;RHC04H2G3100.2;RHC04H2G3101.2;RHC04H2G3102.2;RHC04H2G3103.2;RHC04H2G3104.2;RHC04H2G3105.2;RHC04H2G3106.2;RHC04H2G3107.2;RHC04H2G3108.2;RHC04H2G3109.2;RHC04H2G3110.2;RHC04H2G3111.2;RHC04H2G3112.2;RHC04H2G3113.2;RHC04H2G3114.2;RHC04H2G3115.2;RHC04H2G3116.2;RHC04H2G3117.2;RHC04H2G3118.2;RHC04H2G3119.2;RHC04H2G3120.2;RHC04H2G3121.2;RHC04H2G3122.2;RHC04H2G3123.2;RHC04H2G3124.2;RHC04H2G3125.2;RHC04H2G3126.2;RHC04H2G3127.2;RHC04H2G3128.2;RHC04H2G3129.2;RHC04H2G3130.2;RHC04H2G3131.2;RHC04H2G3132.2;RHC04H2G3133.2;RHC04H2G3134.2;RHC04H2G3135.2;RHC04H2G3136.2;RHC04H2G3137.2;RHC04H2G3138.2;RHC04H2G3139.2;RHC04H2G3140.2;RHC04H2G3141.2;RHC04H2G3142.2;RHC04H2G3143.2;RHC04H2G3144.2;RHC04H2G3145.2;RHC04H2G3146.2;RHC04H2G3147.2;RHC04H2G3148.2	RHC04H2G3069.2;RHC04H2G3070.2;RHC04H2G3071.2;RHC04H2G3072.2;RHC04H2G3073.2;RHC04H2G3074.2;RHC04H2G3075.2;RHC04H2G3076.2;RHC04H2G3077.2;RHC04H2G3078.2;RHC04H2G3079.2;RHC04H2G3080.2;RHC04H2G3081.2;RHC04H2G3082.2;RHC04H2G3083.2;RHC04H2G3084.2;RHC04H2G3085.2;RHC04H2G3086.2;RHC04H2G3087.2;RHC04H2G3088.2;RHC04H2G3089.2;RHC04H2G3090.2;RHC04H2G3091.2;RHC04H2G3092.2;RHC04H2G3093.2;RHC04H2G3094.2;RHC04H2G3095.2;RHC04H2G3096.2;RHC04H2G3097.2;RHC04H2G3098.2;RHC04H2G3099.2;RHC04H2G3100.2;RHC04H2G3101.2;RHC04H2G3102.2;RHC04H2G3103.2;RHC04H2G3104.2;RHC04H2G3105.2;RHC04H2G3106.2;RHC04H2G3107.2;RHC04H2G3108.2;RHC04H2G3109.2;RHC04H2G3110.2;RHC04H2G3111.2;RHC04H2G3112.2;RHC04H2G3113.2;RHC04H2G3114.2;RHC04H2G3115.2;RHC04H2G3116.2;RHC04H2G3117.2;RHC04H2G3118.2;RHC04H2G3119.2;RHC04H2G3120.2;RHC04H2G3121.2;RHC04H2G3122.2;RHC04H2G3123.2;RHC04H2G3124.2;RHC04H2G3125.2;RHC04H2G3126.2;RHC04H2G3127.2;RHC04H2G3128.2;RHC04H2G3129.2;RHC04H2G3130.2;RHC04H2G3131.2;RHC04H2G3132.2;RHC04H2G3133.2;RHC04H2G3134.2;RHC04H2G3135.2;RHC04H2G3136.2;RHC04H2G3137.2;RHC04H2G3138.2;RHC04H2G3139.2;RHC04H2G3140.2;RHC04H2G3141.2;RHC04H2G3142.2;RHC04H2G3143.2;RHC04H2G3144.2;RHC04H2G3145.2;RHC04H2G3146.2;RHC04H2G3147.2;RHC04H2G3148.2
